user_id,item_id,rating,ATMOSPHERE,BUILDING,BUILDING_ELEVATOR,BUILDING_HALL,DECOR,ENTARTAINMENT,ENTARTAINMENT_CASINO,ENTARTAINMENT_SHOPPING,ENTARTAINMENT_SPA,EXPERIENCE,EXPERIENCE_CHECKIN,EXPERIENCE_COMPANY,EXPERIENCE_COMPLAINTS,EXPERIENCE_OCCASION,EXPERIENCE_RESERVATION,FLIGHT,FOOD_DRINKS,FOOD_FOOD,FOOD_FOOD_DESERT,FOOD_RESTAURANT,GENERAL,HOTEL,INTERNET,LOCATION,MONEY,PARKING,ROOM_BATHROOM,ROOM_BED,ROOM_CLEANLINESS,ROOM_EQUIPMENT,ROOM_INTERIOR,ROOM_OVERALL,ROOM_SMOKE,SERVICE,SERVICE_FRONT_DESK,SERVICE_MANAGEMENT,SERVICE_SECURITY,SERVICE_WAITER,SERVISE_MAID,SPORT_GYM,SPORT_POOL,TAXI
6hvcowqr8NYug9u-Bzw8Jg,fpL1qcZ6qbWzC79WU0E-Ug,2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,-1,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,0,NULL,0,-1,NULL,NULL,NULL,NULL,NULL,0,NULL
oXuf9ZYDv2x_cjTo6E4q9A,fpL1qcZ6qbWzC79WU0E-Ug,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77s2qg6JOqXy69stUku6ew,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,0,NULL,1,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Hi7VohxSS5OBt98w4j8t4A,fpL1qcZ6qbWzC79WU0E-Ug,4,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,-1,-1,NULL,NULL,1,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
h-F86jvayp6CniMBR_ZtuQ,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL,0,NULL,NULL,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
rIP5S5HZumKPx6ubpCN1NQ,fpL1qcZ6qbWzC79WU0E-Ug,4,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,1,1,-1,NULL,NULL,NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
NOyfIyoqSdFFLJC4G3Yngg,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
sEZvhiIjrJcLOdeB_ygOMQ,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
b1k4tWoA_ISD7wqu82l8rA,fpL1qcZ6qbWzC79WU0E-Ug,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
nWouNfZD3Pw08RYizxkqcA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
q9XgOylNsSbqZqF_SO3-OQ,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
mt3yjgHWkrUmijiLf9VFPA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,-1,NULL,0,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
tF1qQ5Ik8tb1xtXcU-eW_A,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
W_QXYA7A0IhMrvbckz7eVg,_yfprBETaYgySkKyl8ZWMQ,4,NULL,0,-1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EKwGhgLrM18ErVKKeYE2UA,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
XBHJCDzNh--mBhJkzyM_iA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
z6OGpPPnGNDTOsLhf4KVzA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,0,NULL,-1,1,1,1,NULL,-1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
Ohko8xl3GWX29VgcGQJLiA,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Q48KMGa7gNIUvS-GjsesCg,_yfprBETaYgySkKyl8ZWMQ,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,NULL,NULL,0,0,0,0,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
v5k-__wHo2xPI25WO-dcQA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0,NULL,1,-1,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL,NULL,1,NULL,-1,1,0,0,NULL,0,NULL,1,0,NULL,NULL,NULL,-1,NULL,0,NULL
Bmzq_nkjYqp8aWn12RJdhA,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL
Iw5Nk3gtsoplSkgKiBK-1A,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
yeSRxEDtWpdI1Oc2TsX3xw,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,0,NULL,-1,0,NULL,NULL,NULL,1,-1,0,NULL,1,NULL,0,0,0,NULL,0,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0PcaeCbEUzDigxAkC3pJ9Q,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
auVkTXPmA8o3oU8barlBSw,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,0,0,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,1,NULL,-1,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
ajlsUu-QukZC8P4qD8iI2A,_yfprBETaYgySkKyl8ZWMQ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
w2cd1q5PI9hHfv6yeCFagg,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL
_UAyLUAFAe8lnry2NEfVGA,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
iLQzLLo9q_Zx6FpgmVgA-w,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,NULL,NULL,-1,1,NULL,NULL,-1,-1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
ApQgY6e9lJip6Yu28V7uGA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,1,-1,NULL,1,1,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EnvG_kewvG5PqUqNSgs9Iw,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL
ho7cWkUqMs1yu43wMqoheA,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,0,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
zrBmkDDLS94GYexyp0LyqQ,_yfprBETaYgySkKyl8ZWMQ,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,-1,NULL,NULL,NULL,NULL,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gj_398oemu73V9DEFSYZjg,_yfprBETaYgySkKyl8ZWMQ,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dDIuWlsPMuUELPuIPlWg_w,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,NULL,-1,1,NULL,NULL,1,NULL,NULL,NULL,NULL
rjlb-7-JcmM6fR64ZpyTug,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,-1,NULL,1,NULL,NULL,NULL,0,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL
76H2ZLgglkXNTRId8-jg4g,_yfprBETaYgySkKyl8ZWMQ,1,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,-1,0,NULL,NULL,0,-1,-1,NULL,NULL,NULL,NULL,NULL
oHHtTyZe4OZ_lwqJUPkiIg,_yfprBETaYgySkKyl8ZWMQ,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
VpURV1vP5Uit5_eHaCmd8w,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,-1,NULL,-1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
_-IoPDJhQGB7DrW8ST_3bg,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
muU7S-YE8D3FM5KgxOtFCw,_yfprBETaYgySkKyl8ZWMQ,2,NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,1,0,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
VqoZ6_dh4nPGJP9H_XsweQ,_yfprBETaYgySkKyl8ZWMQ,5,NULL,NULL,-1,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,0,0,1,NULL,NULL,0,-1,-1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
2iTc9BwAgCR9STqEquurWQ,_yfprBETaYgySkKyl8ZWMQ,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Pv5K9MFccM3cOrqUgiNjBg,jYsa5qLFZxhVtwDHZMW-SA,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,0,NULL,1,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
9W_MeofBxF0lEzdKQMN9uQ,jYsa5qLFZxhVtwDHZMW-SA,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,0,-1,0,NULL,1,NULL,NULL,NULL,NULL,NULL,0,1,NULL
yR3jLGMZ1ug7zdPI_xKgTA,jYsa5qLFZxhVtwDHZMW-SA,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CgROmaaqbXJp1osE7PY49Q,jYsa5qLFZxhVtwDHZMW-SA,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,0,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
T-maPZJUOpwG9skIvYFxAQ,jYsa5qLFZxhVtwDHZMW-SA,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
xofFo7WFfHOkzbtoG6SgPg,jYsa5qLFZxhVtwDHZMW-SA,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,-1,1,0,NULL,NULL,NULL,1,1,1,-1,NULL,NULL,1,0,0,-1,1,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
jRs5yOnQ3LonN2_4RxX1yw,jYsa5qLFZxhVtwDHZMW-SA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
y05bv65OCTcZgB0GhO8_sA,jYsa5qLFZxhVtwDHZMW-SA,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PTTACvsRCsdawDqRDlW3EA,BSGcS1EWEkGP2LS1nOZGPA,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,-1,NULL,-1,-1,NULL,NULL,NULL,0,-1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
hAd4_buGRvd6xtxPZZeybA,BSGcS1EWEkGP2LS1nOZGPA,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,-1,NULL,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL
